level,game,houseEdge,userBeXp
Sapphire 2,HiLo,0.01,21000000100
Sapphire 3,HiLo,0.01,33000000100
Ruby 1,HiLo,0.01,55500000100
Ruby 2,HiLo,0.01,75000000100
Ruby 3,HiLo,0.01,112500000100
Diamond 1,HiLo,0.01,225000000100
Diamond 2,HiLo,0.01,450000000100
Diamond 3,HiLo,0.01,900000000100
Opal 1,HiLo,0.01,1500000000100
Opal 2,HiLo,0.01,3000000000100
Opal 3,HiLo,0.01,3000000000100
Unranked (1),Plinko,0.01,1500100
Unranked (2),Plinko,0.01,1500100
Bronze 1,Plinko,0.01,3000100
Bronze 2,Plinko,0.01,7500100
Bronze 3,Plinko,0.01,15000100
Silver 1,Plinko,0.01,37500100
Silver 2,Plinko,0.01,75000100
Silver 3,Plinko,0.01,135000100
Gold 1,Plinko,0.01,270000100
Gold 2,Plinko,0.01,450000100
Gold 3,Plinko,0.01,750000100
Emerald 1,Plinko,0.01,1500000100
Emerald 2,Plinko,0.01,3000000100
Emerald 3,Plinko,0.01,6000000100
Sapphire 1,Plinko,0.01,12000000100
Sapphire 2,Plinko,0.01,21000000100
Sapphire 3,Plinko,0.01,33000000100
Ruby 1,Plinko,0.01,55500000100
Ruby 2,Plinko,0.01,75000000100
Ruby 3,Plinko,0.01,112500000100
Diamond 1,Plinko,0.01,225000000100
Diamond 2,Plinko,0.01,450000000100
Diamond 3,Plinko,0.01,900000000100
Opal 1,Plinko,0.01,1500000000100
Opal 2,Plinko,0.01,3000000000100
Opal 3,Plinko,0.01,3000000000100
Unranked (1),Keno,0.01,1500100
Unranked (2),Keno,0.01,1500100
Bronze 1,Keno,0.01,3000100
Bronze 2,Keno,0.01,7500100
Bronze 3,Keno,0.01,15000100
Silver 1,Keno,0.01,37500100
Silver 2,Keno,0.01,75000100
Silver 3,Keno,0.01,135000100
Gold 1,Keno,0.01,270000100
Gold 2,Keno,0.01,450000100
Gold 3,Keno,0.01,750000100
Emerald 1,Keno,0.01,1500000100
Emerald 2,Keno,0.01,3000000100
Emerald 3,Keno,0.01,6000000100
Sapphire 1,Keno,0.01,12000000100
Sapphire 2,Keno,0.01,21000000100
Sapphire 3,Keno,0.01,33000000100
Ruby 1,Keno,0.01,55500000100
Ruby 2,Keno,0.01,75000000100
Ruby 3,Keno,0.01,112500000100
Diamond 1,Keno,0.01,225000000100
Diamond 2,Keno,0.01,450000000100
Diamond 3,Keno,0.01,900000000100
Opal 1,Keno,0.01,1500000000100
Opal 2,Keno,0.01,3000000000100
Opal 3,Keno,0.01,3000000000100
Unranked (1),Mines,0.01,1500100
Unranked (2),Mines,0.01,1500100
Bronze 1,Mines,0.01,3000100
Bronze 2,Mines,0.01,7500100
Bronze 3,Mines,0.01,15000100
Silver 1,Mines,0.01,37500100
Silver 2,Mines,0.01,75000100
Silver 3,Mines,0.01,135000100
Gold 1,Mines,0.01,270000100
Gold 2,Mines,0.01,450000100
Gold 3,Mines,0.01,750000100
Emerald 1,Mines,0.01,1500000100
Emerald 2,Mines,0.01,3000000100
Emerald 3,Mines,0.01,6000000100
Sapphire 1,Mines,0.01,12000000100
Sapphire 2,Mines,0.01,21000000100
Sapphire 3,Mines,0.01,33000000100
Ruby 1,Mines,0.01,55500000100
Ruby 2,Mines,0.01,75000000100
Ruby 3,Mines,0.01,112500000100
Diamond 1,Mines,0.01,225000000100
Diamond 2,Mines,0.01,450000000100
Diamond 3,Mines,0.01,900000000100
Opal 1,Mines,0.01,1500000000100
Opal 2,Mines,0.01,3000000000100
Opal 3,Mines,0.01,3000000000100
Unranked (1),PocketDice,0.01,1500100
Unranked (2),PocketDice,0.01,1500100
Bronze 1,PocketDice,0.01,3000100
Bronze 2,PocketDice,0.01,7500100
Bronze 3,PocketDice,0.01,15000100
Silver 1,PocketDice,0.01,37500100
Silver 2,PocketDice,0.01,75000100
Silver 3,PocketDice,0.01,135000100
Gold 1,PocketDice,0.01,270000100
Gold 2,PocketDice,0.01,450000100
Gold 3,PocketDice,0.01,750000100
Emerald 1,PocketDice,0.01,1500000100
Emerald 2,PocketDice,0.01,3000000100
Emerald 3,PocketDice,0.01,6000000100
Sapphire 1,PocketDice,0.01,12000000100
Sapphire 2,PocketDice,0.01,21000000100
Sapphire 3,PocketDice,0.01,33000000100
Ruby 1,PocketDice,0.01,55500000100
Ruby 2,PocketDice,0.01,75000000100
Ruby 3,PocketDice,0.01,112500000100
Diamond 1,PocketDice,0.01,225000000100
Diamond 2,PocketDice,0.01,450000000100
Diamond 3,PocketDice,0.01,900000000100
Opal 1,PocketDice,0.01,1500000000100
Opal 2,PocketDice,0.01,3000000000100
Opal 3,PocketDice,0.01,3000000000100
Unranked (1),Limbo,0.01,1500100
Unranked (2),Limbo,0.01,1500100
Bronze 1,Limbo,0.01,3000100
Bronze 2,Limbo,0.01,7500100
Bronze 3,Limbo,0.01,15000100
Silver 1,Limbo,0.01,37500100
Silver 2,Limbo,0.01,75000100
Silver 3,Limbo,0.01,135000100
Gold 1,Limbo,0.01,270000100
Gold 2,Limbo,0.01,450000100
Gold 3,Limbo,0.01,750000100
Emerald 1,Limbo,0.01,1500000100
Emerald 2,Limbo,0.01,3000000100
Emerald 3,Limbo,0.01,6000000100
Sapphire 1,Limbo,0.01,12000000100
Sapphire 2,Limbo,0.01,21000000100
Sapphire 3,Limbo,0.01,33000000100
Ruby 1,Limbo,0.01,55500000100
Ruby 2,Limbo,0.01,75000000100
Ruby 3,Limbo,0.01,112500000100
Diamond 1,Limbo,0.01,225000000100
Diamond 2,Limbo,0.01,450000000100
Diamond 3,Limbo,0.01,900000000100
Opal 1,Limbo,0.01,1500000000100
Opal 2,Limbo,0.01,3000000000100
Opal 3,Limbo,0.01,3000000000100
Unranked (1),Blackjack,0.0069,1500100
Unranked (2),Blackjack,0.0069,1500100
Bronze 1,Blackjack,0.0069,3000100
Bronze 2,Blackjack,0.0069,7500100
Bronze 3,Blackjack,0.0069,15000100
Silver 1,Blackjack,0.0069,37500100
Silver 2,Blackjack,0.0069,75000100
Silver 3,Blackjack,0.0069,135000100
Gold 1,Blackjack,0.0069,270000100
Gold 2,Blackjack,0.0069,450000100
Gold 3,Blackjack,0.0069,750000100
Emerald 1,Blackjack,0.0069,1500000100
Emerald 2,Blackjack,0.0069,3000000100
Emerald 3,Blackjack,0.0069,6000000100
Sapphire 1,Blackjack,0.0069,12000000100
Sapphire 2,Blackjack,0.0069,21000000100
Sapphire 3,Blackjack,0.0069,33000000100
Ruby 1,Blackjack,0.0069,55500000100
Ruby 2,Blackjack,0.0069,75000000100
Ruby 3,Blackjack,0.0069,112500000100
Diamond 1,Blackjack,0.0069,225000000100
Diamond 2,Blackjack,0.0069,450000000100
Diamond 3,Blackjack,0.0069,900000000100
Opal 1,Blackjack,0.0069,1500000000100
Opal 2,Blackjack,0.0069,3000000000100
Opal 3,Blackjack,0.0069,3000000000100
