buttonType,game,currency,initialBetAmount,minOrMaxAmount,expectedAfterFirstClick,expectedAfterSecondClick
MAX,Plinko,PLN,10,4200,,
MAX,Mines,PLN,10,4200,,
MAX,Keno,PLN,10,4200,,
MAX,Plinko,CZK,10,23320,,
MAX,Mines,CZK,10,23320,,
MAX,Keno,CZK,10,23320,,
MAX,Plinko,INR,10,83040,,
MAX,Mines,INR,10,83040,,
MAX,Keno,INR,10,83040,,
HALF,Plinko,USD,0.41,0.1,0.21,0.11
HALF,Plinko,USD,0.42,0.1,0.21,0.11
HALF,Plinko,EUR,0.41,0.1,0.21,0.11
HALF,Plinko,EUR,0.42,0.1,0.21,0.11
HALF,Plinko,RUB,40.67,9.92,20.34,10.17
HALF,Plinko,RUB,40.68,9.92,20.34,10.17
HALF,Plinko,JPY,61.67,15.04,30.84,15.42
HALF,Plinko,JPY,61.66,15.04,30.83,15.42
HALF,Plinko,CAD,0.69,0.14,0.35,0.18
HALF,Plinko,CAD,0.68,0.14,0.34,0.17
HALF,Plinko,KRW,549.73,134.08,274.87,137.44
HALF,Plinko,KRW,549.74,134.08,274.87,137.44
HALF,Plinko,TRY,12.05,2.94,6.03,3.02
HALF,Plinko,TRY,12.06,2.94,6.03,3.02
HALF,Plinko,NGN,322.61,78.68,161.31,80.66
HALF,Plinko,NGN,322.6,78.68,161.3,80.65
HALF,Plinko,NZD,0.71,0.17,0.36,0.18
HALF,Plinko,NZD,0.7,0.17,0.35,0.18
HALF,Plinko,PLN,1.73,0.42,0.87,0.44
HALF,Plinko,PLN,1.72,0.42,0.86,0.43
HALF,Plinko,CZK,9.55,2.33,4.78,2.39
HALF,Plinko,CZK,9.56,2.33,4.78,2.39
HALF,Plinko,INR,34.03,8.3,17.02,8.51
HALF,Plinko,INR,34.04,8.3,17.02,8.51
HALF,Mines,USD,0.04,0.01,0.02,0.01
HALF,Mines,USD,0.05,0.01,0.03,0.02
HALF,Mines,EUR,0.04,0.01,0.02,0.01
HALF,Mines,EUR,0.05,0.01,0.03,0.02
HALF,Mines,RUB,4.07,0.99,2.04,1.02
HALF,Mines,RUB,4.66,0.99,2.33,1.17
HALF,Mines,JPY,6.15,1.5,3.08,1.54
HALF,Mines,JPY,6.16,1.5,3.08,1.54
HALF,Mines,CAD,0.04,0.01,0.02,0.01
HALF,Mines,CAD,0.05,0.01,0.03,0.02
HALF,Mines,KRW,54.99,13.41,27.5,13.75
HALF,Mines,KRW,54.98,13.41,27.49,13.75
HALF,Mines,TRY,1.19,0.29,0.6,0.3
HALF,Mines,TRY,1.2,0.29,0.6,0.3
HALF,Mines,NGN,32.27,7.87,16.14,8.07
HALF,Mines,NGN,32.28,7.87,16.14,8.07
HALF,Mines,NZD,0.09,0.02,0.05,0.03
HALF,Mines,NZD,0.1,0.02,0.05,0.03
HALF,Mines,PLN,0.17,0.04,0.09,0.05
HALF,Mines,PLN,0.18,0.04,0.09,0.05
HALF,Mines,CZK,0.95,0.23,0.48,0.24
HALF,Mines,CZK,0.94,0.23,0.47,0.24
HALF,Mines,INR,3.41,0.83,1.71,0.86
HALF,Mines,INR,3.4,0.83,1.7,0.85
HALF,Keno,USD,0.41,0.1,0.21,0.11
HALF,Keno,USD,0.42,0.1,0.21,0.11
HALF,Keno,EUR,0.41,0.1,0.21,0.11
HALF,Keno,EUR,0.42,0.1,0.21,0.11
HALF,Keno,RUB,40.67,9.92,20.34,10.17
HALF,Keno,RUB,40.68,9.92,20.34,10.17
HALF,Keno,JPY,61.67,15.04,30.84,15.42
HALF,Keno,JPY,61.66,15.04,30.83,15.42
HALF,Keno,CAD,0.69,0.14,0.35,0.18
HALF,Keno,CAD,0.68,0.14,0.34,0.17
HALF,Keno,KRW,549.73,134.08,274.87,137.44
HALF,Keno,KRW,549.74,134.08,274.87,137.44
HALF,Keno,TRY,12.05,2.94,6.03,3.02
HALF,Keno,TRY,12.06,2.94,6.03,3.02
HALF,Keno,NGN,322.61,78.68,161.31,80.66
HALF,Keno,NGN,322.6,78.68,161.3,80.65
HALF,Keno,NZD,0.71,0.17,0.36,0.18
HALF,Keno,NZD,0.7,0.17,0.35,0.18
HALF,Keno,PLN,1.73,0.42,0.87,0.44
HALF,Keno,PLN,1.72,0.42,0.86,0.43
HALF,Keno,CZK,9.55,2.33,4.78,2.39
HALF,Keno,CZK,9.56,2.33,4.78,2.39
HALF,Keno,INR,34.03,8.3,17.02,8.51
HALF,Keno,INR,34.04,8.3,17.02,8.51
DOUBLE,Plinko,USD,199,1000,398,796
DOUBLE,Plinko,USD,200,1000,400,800
DOUBLE,Plinko,EUR,189,950,378,756
DOUBLE,Plinko,EUR,190,950,380,760
DOUBLE,Plinko,RUB,19837,99190,39674,79348
DOUBLE,Plinko,RUB,19838,99190,39676,79352
DOUBLE,Plinko,JPY,30075,150380,60150,120300
DOUBLE,Plinko,JPY,30076,150380,60152,120304
DOUBLE,Plinko,CAD,273,1370,546,1092
DOUBLE,Plinko,CAD,274,1370,548,1096
DOUBLE,Plinko,KRW,268153,1340770,536306,1072612
DOUBLE,Plinko,KRW,268154,1340770,536308,1072616
DOUBLE,Plinko,TRY,5871,29360,11742,23484
DOUBLE,Plinko,TRY,5872,29360,11744,23488
DOUBLE,Plinko,NGN,157349,786750,314698,629396
DOUBLE,Plinko,NGN,157350,786750,314700,629400
DOUBLE,Plinko,NZD,337,1690,674,1348
DOUBLE,Plinko,NZD,338,1690,676,1352
DOUBLE,Plinko,PLN,839,4200,1678,3356
DOUBLE,Plinko,PLN,840,4200,1680,3360
DOUBLE,Plinko,CZK,4663,23320,9326,18652
DOUBLE,Plinko,CZK,4664,23320,9328,18656
DOUBLE,Plinko,INR,16607,83040,33214,66428
DOUBLE,Plinko,INR,16608,83040,33216,66432
DOUBLE,Mines,USD,199,1000,398,796
DOUBLE,Mines,USD,200,1000,400,800
DOUBLE,Mines,EUR,189,950,378,756
DOUBLE,Mines,EUR,190,950,380,760
DOUBLE,Mines,RUB,19837,99190,39674,79348
DOUBLE,Mines,RUB,19838,99190,39676,79352
DOUBLE,Mines,JPY,30075,150380,60150,120300
DOUBLE,Mines,JPY,30076,150380,60152,120304
DOUBLE,Mines,CAD,273,1370,546,1092
DOUBLE,Mines,CAD,274,1370,548,1096
DOUBLE,Mines,KRW,268153,1340770,536306,1072612
DOUBLE,Mines,KRW,268154,1340770,536308,1072616
DOUBLE,Mines,TRY,5871,29360,11742,23484
DOUBLE,Mines,TRY,5872,29360,11744,23488
DOUBLE,Mines,NGN,157349,786750,314698,629396
DOUBLE,Mines,NGN,157350,786750,314700,629400
DOUBLE,Mines,NZD,337,1690,674,1348
DOUBLE,Mines,NZD,338,1690,676,1352
DOUBLE,Mines,PLN,839,4200,1678,3356
DOUBLE,Mines,PLN,840,4200,1680,3360
DOUBLE,Mines,CZK,4663,23320,9326,18652
DOUBLE,Mines,CZK,4664,23320,9328,18656
DOUBLE,Mines,INR,16607,83040,33214,66428
DOUBLE,Mines,INR,16608,83040,33216,66432
DOUBLE,Keno,USD,199,1000,398,796
DOUBLE,Keno,USD,200,1000,400,800
DOUBLE,Keno,EUR,189,950,378,756
DOUBLE,Keno,EUR,190,950,380,760
DOUBLE,Keno,RUB,19837,99190,39674,79348
DOUBLE,Keno,RUB,19838,99190,39676,79352
DOUBLE,Keno,JPY,30075,150380,60150,120300
DOUBLE,Keno,JPY,30076,150380,60152,120304
DOUBLE,Keno,CAD,273,1370,546,1092
DOUBLE,Keno,CAD,274,1370,548,1096
DOUBLE,Keno,KRW,268153,1340770,536306,1072612
DOUBLE,Keno,KRW,268154,1340770,536308,1072616
DOUBLE,Keno,TRY,5871,29360,11742,23484
DOUBLE,Keno,TRY,5872,29360,11744,23488
DOUBLE,Keno,NGN,157349,786750,314698,629396
DOUBLE,Keno,NGN,157350,786750,314700,629400
DOUBLE,Keno,NZD,337,1690,674,1348
DOUBLE,Keno,NZD,338,1690,676,1352
DOUBLE,Keno,PLN,839,4200,1678,3356
DOUBLE,Keno,PLN,840,4200,1680,3360
DOUBLE,Keno,CZK,4663,23320,9326,18652
DOUBLE,Keno,CZK,4664,23320,9328,18656
DOUBLE,Keno,INR,16607,83040,33214,66428
DOUBLE,Keno,INR,16608,83040,33216,66432
