userType,loginUserTag,v4BeforeLogin,v4AfterLogin
Beta+Regular,Beta+Regular+Developer,true,true
Beta+Developer,Beta+Regular+Developer,false,true
Regular+Developer,Beta+Regular+Developer,true,true
QA+Beta+Regular,Beta+Regular+Developer,true,true
QA+Beta+Developer,Beta+Regular+Developer,false,true
QA+Regular+Developer,Beta+Regular+Developer,true,true
Beta+Regular+Developer,Beta+Regular+Developer,true,true
QA+Beta+Regular+Developer,Beta+Regular+Developer,true,true
QA,QA+Beta+Regular+Developer,false,true
Beta,QA+Beta+Regular+Developer,false,true
Regular,QA+Beta+Regular+Developer,true,true
Developer,QA+Beta+Regular+Developer,false,true
QA+Beta,QA+Beta+Regular+Developer,false,true
QA+Regular,QA+Beta+Regular+Developer,true,true
QA+Developer,QA+Beta+Regular+Developer,false,true
Beta+Regular,QA+Beta+Regular+Developer,true,true
Beta+Developer,QA+Beta+Regular+Developer,false,true
Regular+Developer,QA+Beta+Regular+Developer,true,true
QA+Beta+Regular,QA+Beta+Regular+Developer,true,true
QA+Beta+Developer,QA+Beta+Regular+Developer,false,true
QA+Regular+Developer,QA+Beta+Regular+Developer,true,true
Beta+Regular+Developer,QA+Beta+Regular+Developer,true,true
QA+Beta+Regular+Developer,QA+Beta+Regular+Developer,true,true
