currentLevel,requiredXpToUpgrade,newLevel,userBeXp,ranksRewards,claimableRewards,unclaimableRewards
Bronze_2,"50,000.00",Silver_2,75000000,3|4|5,Bronze_2|Bronze_3|Silver_1|Silver_2,Unranked|Bronze_1|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"50,000.00",Silver_2,75000000,4|5,Bronze_3|Silver_1|Silver_2,Unranked|Bronze_1|Bronze_2|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"90,000.00",Silver_3,135000000,0|1|2|3|4|5|6,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3,Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"90,000.00",Silver_3,135000000,1|2|3|4|5|6,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3,Unranked|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"90,000.00",Silver_3,135000000,2|3|4|5|6,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3,Unranked|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"90,000.00",Silver_3,135000000,3|4|5|6,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3,Unranked|Bronze_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"90,000.00",Silver_3,135000000,4|5|6,Bronze_3|Silver_1|Silver_2|Silver_3,Unranked|Bronze_1|Bronze_2|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"90,000.00",Silver_3,135000000,5|6,Silver_1|Silver_2|Silver_3,Unranked|Bronze_1|Bronze_2|Bronze_3|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"180,000.00",Gold_1,270000000,0|1|2|3|4|5|6|7,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1,Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"180,000.00",Gold_1,270000000,1|2|3|4|5|6|7,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1,Unranked|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"180,000.00",Gold_1,270000000,2|3|4|5|6|7,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1,Unranked|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"180,000.00",Gold_1,270000000,3|4|5|6|7,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1,Unranked|Bronze_1|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"180,000.00",Gold_1,270000000,4|5|6|7,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1,Unranked|Bronze_1|Bronze_2|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"180,000.00",Gold_1,270000000,5|6|7,Silver_1|Silver_2|Silver_3|Gold_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_2,"180,000.00",Gold_1,270000000,6|7,Silver_2|Silver_3|Gold_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Gold_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"300,000.00",Gold_2,450000000,0|1|2|3|4|5|6|7|8,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"300,000.00",Gold_2,450000000,1|2|3|4|5|6|7|8,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"300,000.00",Gold_2,450000000,2|3|4|5|6|7|8,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"300,000.00",Gold_2,450000000,3|4|5|6|7|8,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Bronze_1|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"300,000.00",Gold_2,450000000,4|5|6|7|8,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Bronze_1|Bronze_2|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"300,000.00",Gold_2,450000000,5|6|7|8,Silver_1|Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_2,"300,000.00",Gold_2,450000000,6|7|8,Silver_2|Silver_3|Gold_1|Gold_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_3,"300,000.00",Gold_2,450000000,7|8,Silver_3|Gold_1|Gold_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Emerald_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"500,000.00",Gold_3,750000000,0|1|2|3|4|5|6|7|8|9,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"500,000.00",Gold_3,750000000,1|2|3|4|5|6|7|8|9,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"500,000.00",Gold_3,750000000,2|3|4|5|6|7|8|9,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"500,000.00",Gold_3,750000000,3|4|5|6|7|8|9,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"500,000.00",Gold_3,750000000,4|5|6|7|8|9,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Bronze_2|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"500,000.00",Gold_3,750000000,5|6|7|8|9,Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Bronze_2|Bronze_3|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_2,"500,000.00",Gold_3,750000000,6|7|8|9,Silver_2|Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_3,"500,000.00",Gold_3,750000000,7|8|9,Silver_3|Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_1,"500,000.00",Gold_3,750000000,8|9,Gold_1|Gold_2|Gold_3,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Emerald_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"1,000,000.00",Emerald_1,1500000000,0|1|2|3|4|5|6|7|8|9|10,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"1,000,000.00",Emerald_1,1500000000,1|2|3|4|5|6|7|8|9|10,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"1,000,000.00",Emerald_1,1500000000,2|3|4|5|6|7|8|9|10,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"1,000,000.00",Emerald_1,1500000000,3|4|5|6|7|8|9|10,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"1,000,000.00",Emerald_1,1500000000,4|5|6|7|8|9|10,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"1,000,000.00",Emerald_1,1500000000,5|6|7|8|9|10,Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_2,"1,000,000.00",Emerald_1,1500000000,6|7|8|9|10,Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_3,"1,000,000.00",Emerald_1,1500000000,7|8|9|10,Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_1,"1,000,000.00",Emerald_1,1500000000,8|9|10,Gold_1|Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_2,"1,000,000.00",Emerald_1,1500000000,9|10,Gold_2|Gold_3|Emerald_1,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Emerald_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"2,000,000.00",Emerald_2,3000000000,0|1|2|3|4|5|6|7|8|9|10|11,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"2,000,000.00",Emerald_2,3000000000,1|2|3|4|5|6|7|8|9|10|11,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"2,000,000.00",Emerald_2,3000000000,2|3|4|5|6|7|8|9|10|11,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"2,000,000.00",Emerald_2,3000000000,3|4|5|6|7|8|9|10|11,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_3,"2,000,000.00",Emerald_2,3000000000,4|5|6|7|8|9|10|11,Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_1,"2,000,000.00",Emerald_2,3000000000,5|6|7|8|9|10|11,Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_2,"2,000,000.00",Emerald_2,3000000000,6|7|8|9|10|11,Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Silver_3,"2,000,000.00",Emerald_2,3000000000,7|8|9|10|11,Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_1,"2,000,000.00",Emerald_2,3000000000,8|9|10|11,Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_2,"2,000,000.00",Emerald_2,3000000000,9|10|11,Gold_2|Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Gold_3,"2,000,000.00",Emerald_2,3000000000,10|11,Gold_3|Emerald_1|Emerald_2,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Sapphire_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_1,"4,000,000.00",Emerald_3,6000000000,0|1|2|3|4|5|6|7|8|9|10|11|12,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3,Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Unranked_2,"4,000,000.00",Emerald_3,6000000000,1|2|3|4|5|6|7|8|9|10|11|12,Unranked|Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3,Unranked|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_1,"4,000,000.00",Emerald_3,6000000000,2|3|4|5|6|7|8|9|10|11|12,Bronze_1|Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3,Unranked|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
Bronze_2,"4,000,000.00",Emerald_3,6000000000,3|4|5|6|7|8|9|10|11|12,Bronze_2|Bronze_3|Silver_1|Silver_2|Silver_3|Gold_1|Gold_2|Gold_3|Emerald_1|Emerald_2|Emerald_3,Unranked|Bronze_1|Sapphire_2|Sapphire_3|Ruby_1|Ruby_2|Ruby_3|Diamond_1|Diamond_2|Diamond_3|Opal_1|Opal_2|Opal_3
